model,decoding_tps,prefill_tps,run_id,mode,temperature,repeat_penalty,top_p,top_k,min_p,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,poll_level,use_mmap,split_mode,dry_multiplier,frequency_penalty,presence_penalty,token_limit,prompt_tokens,gen_tokens,run_tag,log_file
TinyLlama-1.1B-Chat-Q4_K_M,76.40,194.25,1,CPU,0.6,1.1,0.9,40,0.05,1024,0,64,64,8,0,q4_0,q4_0,1,30,0,layer,0.5,0.1,0.2,600,256,256,trial1_TinyLlama-1.1B-Chat-Q4_K_M_modeCPU_T0.6_P0.9_K40_minp0.05_C1024_Bcpu64_thr8_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial1_TinyLlama-1.1B-Chat-Q4_K_M_modeCPU_T0.6_P0.9_K40_minp0.05_C1024_Bcpu64_thr8_ngl0_pp256_tg256_fa1.log
microsoft_Phi-4-mini-instruct-Q4_K_M,11.34,24.74,2,CPU,0.6,1.2,0.95,40,0.1,2048,0,64,128,4,0,f16,f16,1,30,0,layer,1.0,0.2,0.2,600,512,256,trial2_microsoft_Phi-4-mini-instruct-Q4_K_M_modeCPU_T0.6_P0.95_K40_minp0.1_C2048_Bcpu64_thr4_ngl0_pp512_tg256_fa1,hyperparam_bench_random_20251210_145044/trial2_microsoft_Phi-4-mini-instruct-Q4_K_M_modeCPU_T0.6_P0.95_K40_minp0.1_C2048_Bcpu64_thr4_ngl0_pp512_tg256_fa1.log
MobileLLM-R1-950M_Q4_K_S,51.97,112.51,3,CPU,0.8,1.0,0.9,20,0.15,4096,4,256,256,6,0,q8_0,q8_0,1,30,0,none,0.0,0.0,0.0,600,512,128,trial3_MobileLLM-R1-950M_Q4_K_S_modeCPU_T0.8_P0.9_K20_minp0.15_C4096_Bcpu256_thr6_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_145044/trial3_MobileLLM-R1-950M_Q4_K_S_modeCPU_T0.8_P0.9_K20_minp0.15_C4096_Bcpu256_thr6_ngl0_pp512_tg128_fa1.log
phi-4-mini-reasoning-4b-bf16,1.86,2.66,4,CPU,0.2,1.1,1.0,40,0.1,512,0,128,64,6,0,f16,q4_0,1,30,0,layer,0.5,0.2,0.2,600,256,256,trial4_phi-4-mini-reasoning-4b-bf16_modeCPU_T0.2_P1.0_K40_minp0.1_C512_Bcpu128_thr6_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251210_145044/trial4_phi-4-mini-reasoning-4b-bf16_modeCPU_T0.2_P1.0_K40_minp0.1_C512_Bcpu128_thr6_ngl0_pp256_tg256_fa1.log
phi-4-mini-reasoning-4b-bf16,2.78,3.46,5,CPU,0.8,1.1,0.95,20,0.1,4096,4,64,256,4,0,q4_0,q4_0,1,30,0,none,1.0,0.1,0.2,600,256,128,trial5_phi-4-mini-reasoning-4b-bf16_modeCPU_T0.8_P0.95_K20_minp0.1_C4096_Bcpu64_thr4_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial5_phi-4-mini-reasoning-4b-bf16_modeCPU_T0.8_P0.95_K20_minp0.1_C4096_Bcpu64_thr4_ngl0_pp256_tg128_fa1.log
Llama-3.2-3B-Instruct-Q4_K_M,16.32,36.84,6,CPU,0.6,1.0,0.9,60,0.15,2048,0,256,128,8,0,q8_0,q8_0,1,30,0,layer,1.0,0.0,0.4,600,512,256,trial6_Llama-3.2-3B-Instruct-Q4_K_M_modeCPU_T0.6_P0.9_K60_minp0.15_C2048_Bcpu256_thr8_ngl0_pp512_tg256_fa1,hyperparam_bench_random_20251210_145044/trial6_Llama-3.2-3B-Instruct-Q4_K_M_modeCPU_T0.6_P0.9_K60_minp0.15_C2048_Bcpu256_thr8_ngl0_pp512_tg256_fa1.log
Llama-3.2-1B-Instruct-Q4_0,35.01,161.21,7,CPU,0.6,1.2,1.0,60,0.15,1024,0,256,128,6,0,q8_0,f16,1,30,0,layer,1.0,0.2,0.4,600,256,128,trial7_Llama-3.2-1B-Instruct-Q4_0_modeCPU_T0.6_P1.0_K60_minp0.15_C1024_Bcpu256_thr6_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial7_Llama-3.2-1B-Instruct-Q4_0_modeCPU_T0.6_P1.0_K60_minp0.15_C1024_Bcpu256_thr6_ngl0_pp256_tg128_fa1.log
LFM2-2.6B.Q4_K_M,11.81,23.11,8,CPU,0.4,1.0,1.0,60,0.1,1024,4,128,128,6,0,f16,q8_0,1,30,0,none,1.0,0.0,0.4,600,256,128,trial8_LFM2-2.6B.Q4_K_M_modeCPU_T0.4_P1.0_K60_minp0.1_C1024_Bcpu128_thr6_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial8_LFM2-2.6B.Q4_K_M_modeCPU_T0.4_P1.0_K60_minp0.1_C1024_Bcpu128_thr6_ngl0_pp256_tg128_fa1.log
LFM2-2.6B.Q4_K_M,21.86,38.42,9,CPU,0.4,1.2,1.0,40,0.15,1024,4,128,128,6,0,f16,f16,1,30,0,none,1.0,0.2,0.2,600,256,128,trial9_LFM2-2.6B.Q4_K_M_modeCPU_T0.4_P1.0_K40_minp0.15_C1024_Bcpu128_thr6_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial9_LFM2-2.6B.Q4_K_M_modeCPU_T0.4_P1.0_K40_minp0.15_C1024_Bcpu128_thr6_ngl0_pp256_tg128_fa1.log
mobilellm-r1.5-950M_q4_0,69.70,351.53,10,CPU,0.6,1.0,0.9,20,0.05,1024,0,256,256,8,0,q4_0,q8_0,1,30,0,layer,0.0,0.0,0.4,600,256,128,trial10_mobilellm-r1.5-950M_q4_0_modeCPU_T0.6_P0.9_K20_minp0.05_C1024_Bcpu256_thr8_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial10_mobilellm-r1.5-950M_q4_0_modeCPU_T0.6_P0.9_K20_minp0.05_C1024_Bcpu256_thr8_ngl0_pp256_tg128_fa1.log
microsoft_Phi-4-mini-instruct-Q4_K_M,15.49,30.25,11,CPU,0.8,1.0,0.9,60,0.05,4096,4,256,256,8,0,q8_0,q8_0,1,30,0,none,0.0,0.0,0.4,600,256,128,trial11_microsoft_Phi-4-mini-instruct-Q4_K_M_modeCPU_T0.8_P0.9_K60_minp0.05_C4096_Bcpu256_thr8_ngl0_pp256_tg128_fa1,hyperparam_bench_random_20251210_145044/trial11_microsoft_Phi-4-mini-instruct-Q4_K_M_modeCPU_T0.8_P0.9_K60_minp0.05_C4096_Bcpu256_thr8_ngl0_pp256_tg128_fa1.log
