run_id,model,mode,temperature,repeat_penalty,top_p,top_k,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,context_shift,poll_level,use_mmap,split_mode,system_prompt,bleurt_score,accuracy,avg_prefill_speed,avg_decode_speed,avg_total_speed,runtime_seconds
1,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.7,1.0,0.9,20,4096,4,128,128,6,0,q8_0,q8_0,on,1,50,1,none,"",-0.7194058684011301,0.5416666666666666,24.89,16.56,16.96,762
2,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.3,1.5,0.9,20,2048,4,128,128,4,0,f16,f16,on,1,50,0,none,"",-0.8494999635219574,0.52,19.91,13.41,14.02,885
3,minicpm-3b-openhermes-2.5-v2.Q4_K_M.gguf,CPU,0.7,1.1,0.7,60,512,4,512,512,8,0,f16,f16,on,1,100,0,none,"",-0.794070425927639,0.48,31.26,19.49,20.81,716
4,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.8,1.25,0.85,80,1024,4,512,512,2,0,f16,f16,off,1,0,1,none,"",-1.002266675233841,0.52,15.03,9.92,10.50,967
5,Llama-3.2-1B-Instruct-Q4_K_M.gguf,CPU,0.3,1.5,0.85,80,2048,4,512,512,2,0,f16,f16,off,1,100,1,none,"",-0.83135626912117,0.52,14.81,9.88,10.32,974
6,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.3,1.25,0.7,60,512,4,128,128,8,0,f16,q8_0,on,1,50,0,none,"",-0.6360509222745896,0.52,35.06,22.04,23.10,696
7,Llama-3.2-3B-Instruct-Q4_K_M.gguf,CPU,0.8,1.0,0.9,20,2048,4,64,64,4,0,f16,q8_0,on,1,100,0,none,"",-0.9694932496547699,0.44,24.02,15.97,16.98,782
8,Llama-3.2-1B-Instruct-Q4_K_M.gguf,CPU,0.3,1.5,0.85,20,2048,4,1024,1024,4,0,f16,f16,off,1,50,1,none,"",-0.819817544221878,0.6,20.79,14.84,15.46,847
9,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.8,1.5,0.85,20,2048,4,128,128,4,0,f16,f16,off,1,0,1,none,"",-0.9709835875034333,0.64,20.37,14.71,15.10,834
10,Llama-3.2-1B-Instruct-Q4_K_M.gguf,CPU,0.3,1.25,0.7,60,1024,4,256,256,2,0,f16,q8_0,on,1,50,1,none,"",-0.6360509222745896,0.52,16.77,10.83,11.41,877
11,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.5,0.85,20,2048,4,256,256,4,0,f16,f16,off,1,50,1,none,"",-0.819817544221878,0.6,21.78,14.90,15.50,837
12,Llama-3.2-3B-Instruct-Q4_K_M.gguf,CPU,0.3,1.5,0.85,20,2048,4,64,64,4,0,f16,f16,on,1,50,0,none,"",-0.8781339681148529,0.68,21.27,15.10,15.63,879
13,Llama-3.2-3B-Instruct-Q4_K_M.gguf,CPU,0.7,1.25,0.7,80,1024,4,1024,1024,2,0,q8_0,q8_0,on,1,100,1,none,"",-0.7742519682645798,0.4,17.52,10.54,11.01,997
14,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.8,1.25,0.85,80,1024,4,64,64,2,0,f16,f16,off,1,0,1,none,"",-1.002266675233841,0.52,17.66,11.17,11.84,885
